Open Time,Open,High,Low,Close,Volume
2024-06-30 16:00:00,61722.5,61754.1,61579.3,61600.0,2419.611
2024-06-30 17:00:00,61600.0,61869.1,61600.0,61697.7,6272.585
2024-06-30 18:00:00,61697.7,62099.5,61664.9,62057.4,7252.277
2024-06-30 19:00:00,62057.4,62100.0,61887.0,62016.8,5533.263
2024-06-30 20:00:00,62016.8,62399.0,61968.5,61981.6,10112.16
2024-06-30 21:00:00,61981.7,62010.7,61825.4,61931.6,3431.207
2024-06-30 22:00:00,61931.7,62955.3,61924.6,62894.9,19527.251
2024-06-30 23:00:00,62894.9,63058.4,62753.9,62766.0,8430.946
2024-07-01 00:00:00,62766.1,62935.2,62562.0,62924.6,7156.801
2024-07-01 01:00:00,62924.7,63730.0,62881.3,63631.9,24879.788
2024-07-01 02:00:00,63631.9,63800.0,63147.9,63427.1,13444.511
2024-07-01 03:00:00,63427.1,63510.0,63316.9,63416.4,4272.64
2024-07-01 04:00:00,63416.5,63453.7,63200.0,63262.9,4254.646
2024-07-01 05:00:00,63263.0,63440.0,63243.6,63410.4,3047.3
2024-07-01 06:00:00,63410.5,63440.6,63267.5,63381.7,2982.46
2024-07-01 07:00:00,63381.7,63419.1,63232.2,63265.5,3276.474
2024-07-01 08:00:00,63265.5,63302.7,62819.0,62910.0,10811.923
2024-07-01 09:00:00,62910.1,62988.0,62761.3,62920.2,5165.106
2024-07-01 10:00:00,62920.3,62970.0,62763.0,62841.9,3958.143
2024-07-01 11:00:00,62841.9,62853.8,62580.0,62657.9,6504.23
2024-07-01 12:00:00,62657.9,62890.0,62633.0,62868.4,6365.272
2024-07-01 13:00:00,62868.3,63074.5,62502.2,62676.0,15417.35
2024-07-01 14:00:00,62676.0,62935.6,62597.4,62809.6,9366.272
2024-07-01 15:00:00,62809.7,63182.5,62802.8,63119.9,8970.912
2024-07-01 16:00:00,63120.0,63344.2,62947.4,63105.2,10528.568
2024-07-01 17:00:00,63105.2,63687.9,63040.0,63683.5,12267.834
2024-07-01 18:00:00,63683.6,63849.0,63412.5,63640.0,13066.252
2024-07-01 19:00:00,63640.0,63640.1,63047.2,63207.6,10574.268
2024-07-01 20:00:00,63207.2,63421.6,63144.1,63274.9,4621.806
2024-07-01 21:00:00,63275.0,63275.0,63010.2,63113.6,3330.018
2024-07-01 22:00:00,63113.6,63147.4,62780.0,62961.7,6827.712
2024-07-01 23:00:00,62961.6,63027.9,62811.0,62883.6,2847.652
2024-07-02 00:00:00,62883.7,62975.3,62765.7,62912.7,3947.555
2024-07-02 01:00:00,62912.7,62955.7,62796.8,62914.6,2556.549
2024-07-02 02:00:00,62914.6,63107.3,62902.2,62983.8,3749.518
2024-07-02 03:00:00,62983.9,63284.0,62975.0,63115.7,4049.203
2024-07-02 04:00:00,63118.0,63227.0,63017.4,63018.5,2686.368
2024-07-02 05:00:00,63018.6,63085.7,62974.5,63010.2,2414.067
2024-07-02 06:00:00,63010.2,63037.7,62818.0,62859.4,4719.006
2024-07-02 07:00:00,62859.4,62864.6,62566.0,62617.9,9244.392
2024-07-02 08:00:00,62617.9,62750.0,62387.0,62666.1,11044.433
2024-07-02 09:00:00,62666.1,62791.1,62622.0,62651.8,4702.755
2024-07-02 10:00:00,62651.8,62793.0,62500.0,62715.6,6307.609
2024-07-02 11:00:00,62715.5,62861.1,62615.1,62823.3,4418.429
2024-07-02 12:00:00,62823.3,63050.0,62711.6,62871.9,6782.057
2024-07-02 13:00:00,62871.9,63167.4,62500.0,62625.3,13871.028
2024-07-02 14:00:00,62625.3,62728.0,61880.0,62032.7,33273.188
2024-07-02 15:00:00,62032.6,62148.7,61840.0,61945.0,9763.217
2024-07-02 16:00:00,61945.0,62024.7,61800.0,61922.8,9564.832
2024-07-02 17:00:00,61922.8,62160.9,61881.1,62144.2,4785.287
2024-07-02 18:00:00,62144.2,62361.2,62133.8,62313.9,7754.033
2024-07-02 19:00:00,62313.8,62362.8,61880.9,61944.0,7226.78
2024-07-02 20:00:00,61944.0,62085.2,61870.8,62006.3,2809.409
2024-07-02 21:00:00,62006.2,62094.0,61901.1,61952.6,2843.683
2024-07-02 22:00:00,61952.6,62117.2,61951.0,62084.5,2174.989
2024-07-02 23:00:00,62084.6,62176.4,62065.5,62123.6,2412.856
2024-07-03 00:00:00,62123.5,62278.2,62075.8,62075.9,3362.731
2024-07-03 01:00:00,62075.8,62215.3,61035.0,61617.9,17364.263
